suite,config,payload_bytes,runs,throughput_msg_s_mean,throughput_msg_s_median,throughput_msg_s_stdev,throughput_msg_s_min,throughput_msg_s_max,throughput_mib_s_mean,p95_latency_ms_mean,p95_latency_ms_median,p95_latency_ms_min,p95_latency_ms_max,p99_latency_ms_mean,duration_s_mean,duplicates_total,ordering_violations_total,completion_ratio_min,resource_invalid_runs,kafka_cpu_peak_pct_mean,kafka_memory_peak_mib_mean,transformer_cpu_peak_pct_mean,sink_cpu_peak_pct_mean
acks,all,1024,3,14373.16980082758,11688.209493894032,7253.970567324779,8844.454272008945,22586.845636579765,14.036298633620683,1394.1669296666666,1145.651224,1011.498832,2025.350733,1506.9371836666667,1.6193004113333334,0,0,1.0,0,70.76666666666667,444.0,18.099999999999998,0.5666666666666667
acks,all,16384,3,2564.409217838344,3057.86585147922,1759.4900452165384,610.8766848721413,4024.48511716367,40.068894028724124,13261.575300999999,4987.300814,3462.638529,31334.78656,13854.958607,14.749973681,0,0,1.0,0,64.89999999999999,527.0,18.3,0.6666666666666666
acks,none,1024,3,14144.576958137768,17425.31239056713,8473.856091747297,4520.862930353943,20487.55555349223,13.813063435681414,1850.0435633333334,1012.887408,783.365557,3753.877725,1941.4743683333334,2.1826307113333336,0,78,1.0,0,61.63333333333333,426.0,16.900000000000002,0.3666666666666667
acks,none,16384,3,3779.928058368751,4062.6003603210447,882.6149007813285,2790.6052681328943,4486.578546652315,59.061375912011734,4542.4397653333335,4432.121462,4007.968787,5187.229047,4869.944786,5.515866379999999,13,484,1.0,0,65.8,487.6666666666667,16.400000000000002,0.19999999999999998
acks,one,1024,3,9342.667564804735,10880.689048446058,3224.441326810679,5637.181162104535,11510.132483863612,9.123698793754624,1968.208879,1469.717456,1097.870465,3337.038716,2093.4401193333333,2.37453028,0,0,1.0,0,60.73333333333333,401.0,18.46666666666667,0.4333333333333333
acks,one,16384,3,3503.2620224660786,3346.223247403151,769.4045472553264,2824.491851980119,4339.070968014967,54.73846910103248,4116.738663666667,4072.597636,3182.933692,5094.684663,4479.413321666666,5.889029612333334,27,0,1.0,0,54.96666666666666,474.3333333333333,17.666666666666668,0.2333333333333333
client,baseline,1024,3,15478.554989306855,17247.145834081533,3397.043121561496,11562.104098019106,17626.415035819926,15.115776356744975,620.4478346666666,569.360057,397.437158,894.546289,678.2687273333333,1.3413539306666664,0,0,1.0,0,24.599999999999998,399.6666666666667,8.833333333333334,0.3666666666666667
client,baseline,16384,3,3847.808742973402,4130.285982232235,780.7024576065901,2965.1854159966456,4447.954830691325,60.122011608959404,2414.66219,1929.42979,1910.497605,3404.059175,2992.6300786666666,5.361223005333334,3,0,1.0,0,44.63333333333333,478.6666666666667,10.966666666666667,0.39999999999999997
client,batch-balanced,1024,3,14120.2554786037,17152.1294173995,8212.775944789179,4822.577442211479,20386.05957620012,13.789311990823926,1642.9068673333334,670.477272,477.22847,3781.01486,1772.980294,2.0980861643333335,0,0,1.0,0,34.63333333333333,356.6666666666667,10.133333333333333,0.6
client,batch-balanced,16384,3,3174.705960438528,3751.762422757041,1314.9611590556078,1669.8812073335746,4102.474251224969,49.604780631852,4260.156064333333,2659.493516,2614.824191,7506.150486,5135.154980333333,7.3942781953333325,6,0,1.0,0,39.833333333333336,483.0,9.166666666666666,1.4000000000000001
client,batch-large,1024,3,9519.618361576646,11086.55404897761,3195.2536282466403,5843.369820608348,11628.931215143979,9.296502306227193,1926.527291,1382.507803,1196.441109,3200.632961,1992.6297329999998,2.3155060426666667,0,0,1.0,0,37.03333333333334,374.6666666666667,7.2,0.39999999999999997
client,batch-large,16384,3,3925.6382431045017,4288.769456499869,915.9638805136107,2883.7868572618536,4604.358415551782,61.33809754850784,3635.864100666667,3094.292171,2634.626812,5178.673319,3983.59455,5.314126037666667,11,0,1.0,0,35.199999999999996,577.3333333333334,7.133333333333333,0.0
client,combined,1024,3,9733.674617175298,5277.011114034215,7853.152219572776,5122.736480913624,18801.276256578058,9.505541618335252,2479.821774333333,3198.265572,873.367868,3367.831883,2579.412334666667,2.9193150506666665,0,0,1.0,0,57.03333333333333,423.0,15.0,0.43333333333333335
client,combined,16384,3,3389.3406585149055,3231.2248654892464,989.2534876444366,2488.667974810101,4448.129135245369,52.9584477892954,4398.427082666667,4266.839622,3099.572066,5828.86956,4938.371483666667,6.240767737666666,0,0,1.0,0,60.53333333333333,462.3333333333333,15.9,0.19999999999999998
client,combined-lz4,1024,3,21053.37986948604,24309.030662318586,10017.82960107509,9812.674397227625,29038.43454891192,20.559941278794962,886.7395686666667,651.704365,612.00453,1396.509811,936.4026546666668,1.1832207363333334,0,0,1.0,0,62.699999999999996,456.6666666666667,15.9,0.4666666666666666
client,combined-lz4,16384,3,4437.137263415383,4774.52593816111,922.8054795501758,3393.116350013423,5143.7695020716155,69.33026974086536,2808.729050666667,2580.755331,2045.385602,3800.046219,3088.9967716666665,4.65712773,2,0,1.0,0,55.86666666666667,443.0,15.433333333333332,0.5666666666666667
client,fetch-fast,1024,3,21949.457938515097,24308.725362699675,7552.465079691468,13498.983718211588,28040.66473463402,21.43501751808115,706.6268650000001,559.057544,528.393901,1032.42915,803.4738533333333,1.0058642376666667,0,0,1.0,0,62.43333333333334,413.0,15.033333333333333,0.5
client,fetch-fast,16384,3,4078.2403112766337,3624.07386355263,1261.1935546478437,3107.0294098895038,5503.617660387768,63.7225048636974,3651.0025613333332,4153.830556,2318.855575,4480.321553,4012.0171143333337,5.196547106666666,0,0,1.0,0,40.166666666666664,466.3333333333333,13.566666666666668,0.16666666666666666
keying,none,1024,3,6734.645239961576,8293.506233509383,2806.6082870915043,3494.6224609785563,8415.807025396789,6.576801992149977,3013.173010666667,2174.550597,1720.431627,5144.536808,3254.5150986666667,3.503694838,0,23019,1.0,0,63.76666666666667,398.3333333333333,15.6,0.19999999999999998
keying,none,16384,3,2383.130793043972,2509.078260713348,305.503154364088,2034.7886939913406,2605.525424427227,37.23641864131206,6084.286262333334,5481.25036,5244.391654,7527.216773,6896.428211333333,8.492026686333332,2,26798,1.0,0,70.10000000000001,481.0,19.46666666666667,5.133333333333334
keying,run,1024,3,10734.424434291892,9455.984882732097,3481.6269802201414,8072.74726164209,14674.541158501492,10.482836361613176,1341.3533483333333,1536.601513,859.266243,1628.192289,1368.1764143333332,1.98514619,0,0,1.0,0,81.36666666666666,391.0,17.133333333333336,0.6666666666666666
