scenario,transport,payload_bytes,concurrency,repetitions,source_files,throughput_messages_per_second,throughput_megabytes_per_second,p50_latency_ms,p95_latency_ms,p99_latency_ms,p95_inter_arrival_ms,inter_arrival_jitter_ms,duplicates,ordering_violations,pre_failure_throughput_msg_s,recovery_window_throughput_msg_s,post_recovery_throughput_msg_s,time_to_first_post_failure_message_ms,time_to_sustained_target_ms,throughput_debt_recovery_window_msg,recovery_window_p95_latency_ms,post_failure_duplicates,post_failure_ordering_violations,backlog_drain_ms
clean,rabbitmq-streams,1024,4,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,18029.73968841838,17.607167664471067,282.85489629999995,444.37827500000003,476.94828039999993,0.0034629,0.9591034683483984,0.0,0.0,,,,,,,,0.0,0.0,
clean,rabbitmq-streams,1024,8,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,19021.32244308308,18.57551019832332,262.00316349999997,455.4327002,481.3536244,0.0028066000000000002,0.8231465876164117,0.0,0.0,,,,,,,,0.0,0.0,
clean,rabbitmq-streams,1024,16,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,18410.33466386246,17.97884244517821,262.75398129999996,453.44993999999997,542.3240671,0.003105,0.6985054364726779,0.0,0.0,,,,,,,,0.0,0.0,
clean,rabbitmq-streams,4096,1,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,8737.346300713649,34.130258987162684,315.9988093,580.8089632,599.2489977,0.0241555,1.4631127224120788,0.0,0.0,,,,,,,,0.0,0.0,
clean,rabbitmq-streams,4096,4,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,10662.544611908728,41.650564890268555,486.57559520000007,696.4353223,729.8914020999999,0.0064892000000000005,1.6149003304722083,0.0,0.0,,,,,,,,0.0,0.0,
clean,rabbitmq-streams,4096,8,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,10284.919141497357,40.175465396474046,526.559799,965.2173987,1001.9892006,0.0050602,1.4789851467069421,0.0,0.0,,,,,,,,0.0,0.0,
clean,rabbitmq-streams,4096,16,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,10622.256927480297,41.49319112296983,562.0318453,795.2810987,866.4658565,0.004961200000000001,1.4141775343932383,0.0,0.0,,,,,,,,0.0,0.0,
clean,rabbitmq-streams,16384,1,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,3027.2682503181736,47.30106641122145,845.5408815000001,1977.8590355000001,2012.0390031000002,0.2313313,2.714299447545568,0.0,0.0,,,,,,,,0.0,0.0,
clean,rabbitmq-streams,16384,4,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,4691.471209687628,73.30423765136919,1190.6398874000001,1540.7614329,1566.9901485,0.0474605,2.4399320182863002,0.0,0.0,,,,,,,,0.0,0.0,
clean,rabbitmq-streams,16384,8,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,4530.006204974316,70.78134695272368,1639.2094029,1958.8360529000001,2020.1598453,0.0287752,2.783884542713608,0.0,0.0,,,,,,,,0.0,0.0,
clean,rabbitmq-streams,16384,16,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,4131.885378436507,64.56070903807039,1939.1005088000002,2396.9143925,2459.535136,0.0080384,3.1704169609713797,0.0,0.0,,,,,,,,0.0,0.0,
clean,unary,256,1,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,932.8730675509618,0.2277522137575593,0.2781009,0.7340145,3.8488778000000003,1.6203712,3.522470842098854,0.0,0.0,,,,,,,,0.0,0.0,
clean,unary,256,4,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,2844.3757769039426,0.6944276799081888,0.3678768,1.0020997,11.983466400000001,0.7871732,2.315188746495804,0.0,0.0,,,,,,,,0.0,0.0,
clean,unary,256,8,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,4191.323204252261,1.02327226666315,0.4619664,1.4979026999999998,14.8190752,0.7799799000000001,2.1768779355780428,0.0,0.0,,,,,,,,0.0,0.0,
clean,unary,256,16,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,6251.7185882968415,1.5262984834709086,0.5397383,2.0867392000000002,33.544293499999995,0.5306934,2.147608522571052,0.0,0.0,,,,,,,,0.0,0.0,
clean,unary,1024,1,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,966.3530952597903,0.9437041945896392,0.2581773,0.48950879999999997,1.9821782,0.9503197,3.800460142869812,0.0,0.0,,,,,,,,0.0,0.0,
clean,unary,1024,4,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,2542.221597342125,2.482638278654418,0.36063839999999997,1.2050944,14.974495300000001,0.8006426000000001,2.6071946271384188,0.0,0.0,,,,,,,,0.0,0.0,
clean,unary,1024,8,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,4150.236893886251,4.052965716685794,0.4476797,1.4524118,32.1536804,0.7076228,2.2197720377535277,0.0,0.0,,,,,,,,0.0,0.0,
clean,unary,1024,16,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,5631.820129000205,5.499824344726759,0.48789059999999995,1.8694878,44.633611499999994,0.4223186,2.2421162812351376,0.0,0.0,,,,,,,,0.0,0.0,
clean,unary,4096,1,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,987.5518277780902,3.857624327258167,0.27735760000000004,0.7026321,2.519032,1.3482831,3.4880307110517235,0.0,0.0,,,,,,,,0.0,0.0,
clean,unary,4096,4,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,2506.883675003407,9.792514355482037,0.38444090000000003,0.8791874,19.2555078,0.7400422,2.7594320684245397,0.0,0.0,,,,,,,,0.0,0.0,
clean,unary,4096,8,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,3772.9683159086585,14.738157484018194,0.45714119999999997,1.2113527,28.6043285,0.6969658,2.4321564318506246,0.0,0.0,,,,,,,,0.0,0.0,
clean,unary,4096,16,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,4994.61558976809,19.5102171475316,0.5745108,2.4317101,52.6615474,0.4936777,2.4819178681422387,0.0,0.0,,,,,,,,0.0,0.0,
clean,unary,16384,1,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,853.6382531442918,13.338097705379544,0.3038571,0.64225,7.251455300000001,1.2261502,3.8717582529968695,0.0,0.0,,,,,,,,0.0,0.0,
clean,unary,16384,4,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,2096.9551426498942,32.7649241039046,0.4894899,1.6440743000000002,20.2265895,0.9551748,3.079338712748937,0.0,0.0,,,,,,,,0.0,0.0,
clean,unary,16384,8,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,2580.4661556915294,40.31978368268013,0.6174579,3.0264001,36.0431278,0.8784476999999999,2.6777470320422823,0.0,0.0,,,,,,,,0.0,0.0,
clean,unary,16384,16,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,3758.8154573251622,58.731491520705696,0.7871446,4.6970289,53.814108399999995,0.5774239999999999,2.6994358927104676,0.0,0.0,,,,,,,,0.0,0.0,
continuous,batched-unary,1024,4,10,rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-summary-aggregated.csv;rq1-extra5-no256k-20260709-synthetic-continuous-summary-aggregated.csv,1050.758518555865,1.02613136577721,185.4644455,376.151474,393.6254365,0.0007765000000000001,13.301252749912049,0.0,0.0,,,,,,,,0.0,0.0,
continuous,batched-unary,1024,8,10,rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-summary-aggregated.csv;rq1-extra5-no256k-20260709-synthetic-continuous-summary-aggregated.csv,976.294576912533,0.9534126727661434,368.810513,759.4228230000001,2277.4377915,0.0007765000000000001,19.4198194369758,0.0,0.0,,,,,,,,0.0,0.0,
continuous,client-streaming,1024,4,10,rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-summary-aggregated.csv;rq1-extra5-no256k-20260709-synthetic-continuous-summary-aggregated.csv,975.413651308669,0.952552393856125,0.269542,7.804522,13.128846,1.6035795,0.6826482766101835,0.0,0.0,,,,,,,,0.0,0.0,
continuous,client-streaming,1024,8,10,rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-summary-aggregated.csv;rq1-extra5-no256k-20260709-synthetic-continuous-summary-aggregated.csv,977.2762929928755,0.9543713798758529,0.2764455,5.9535335,12.413407000000001,1.6687395000000003,0.7078010747563874,0.0,0.0,,,,,,,,0.0,0.0,
continuous,kafka,1024,4,10,rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-summary-aggregated.csv;rq1-extra5-no256k-20260709-synthetic-continuous-summary-aggregated.csv,972.1288662430545,0.9493445959404806,169.57587949999999,355.36783649999995,420.021754,0.013356500000000002,8.18101143890944,0.0,0.0,,,,,,,,0.0,0.0,
continuous,kafka,1024,8,10,rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-summary-aggregated.csv;rq1-extra5-no256k-20260709-synthetic-continuous-summary-aggregated.csv,975.1060313933906,0.9522519837826074,237.59010800000001,377.4956885,1842.3341399999997,0.0233345,8.16772014251195,2.5,0.0,,,,,,,,0.0,0.0,
continuous,nats-jetstream,1024,4,10,rq1-extra5-no256k-20260709-synthetic-continuous-summary-aggregated.csv;rq1-nats-fetchwait-20260621-synthetic-continuous-summary-aggregated.csv,994.9466409536395,0.9716275790562859,0.8852335,30.774686999999993,63.9086375,2.130612,1.003901268823168,0.0,0.0,,,,,,,,0.0,0.0,
continuous,nats-jetstream,1024,8,10,rq1-extra5-no256k-20260709-synthetic-continuous-summary-aggregated.csv;rq1-nats-fetchwait-20260621-synthetic-continuous-summary-aggregated.csv,984.8261240294299,0.9617442617474922,0.9184265,39.5722145,81.71696,2.1695900000000004,1.0634053654141904,0.0,0.0,,,,,,,,0.0,0.0,
continuous,rabbitmq-streams,1024,4,10,rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-summary-aggregated.csv;rq1-extra5-no256k-20260709-synthetic-continuous-summary-aggregated.csv,999.9684626281621,0.9765317017853136,4.733003,31.4297095,224.9421325,2.848332,1.271541406956275,0.0,0.0,,,,,,,,0.0,0.0,
continuous,rabbitmq-streams,1024,8,10,rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-summary-aggregated.csv;rq1-extra5-no256k-20260709-synthetic-continuous-summary-aggregated.csv,1054.2776456075849,1.0295680132886549,4.4623165,44.935255500000004,239.92995000000002,2.769489,1.73382780378098,0.0,0.0,,,,,,,,0.0,0.0,
continuous,unary,1024,4,10,rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-summary-aggregated.csv;rq1-extra5-no256k-20260709-synthetic-continuous-summary-aggregated.csv,975.7212699471305,0.9528528026827461,0.355106,0.7905055000000001,2.091474,2.065005,1.15214304635045,0.0,0.0,,,,,,,,0.0,0.0,
continuous,unary,1024,8,10,rq1-concept5-scenarios-no256k-20260616-synthetic-continuous-summary-aggregated.csv;rq1-extra5-no256k-20260709-synthetic-continuous-summary-aggregated.csv,974.0344855254282,0.9512055522709254,0.369066,1.0007730000000001,2.9093725,2.0974385,1.010479763056105,0.0,0.0,,,,,,,,0.0,0.0,
recovery,batched-unary,4096,8,10,rq1-concept5-scenarios-no256k-20260616-synthetic-recovery-summary-aggregated.csv;rq1-extra5-no256k-20260709-synthetic-recovery-summary-aggregated.csv,1852.0551384874198,7.234590384716486,176.479114,383.2069515,2848.5554715,0.0008565,14.9644950235681,0.0,0.0,2054.0428259835703,1840.0,1831.369872610235,2040.2887804999998,1500.0,3550.0,396.5107065,0.0,0.0,24115.665718
recovery,client-streaming,4096,8,10,rq1-concept5-scenarios-no256k-20260616-synthetic-recovery-summary-aggregated.csv;rq1-extra5-no256k-20260709-synthetic-recovery-summary-aggregated.csv,1629.8133893189001,6.366458552026939,0.28721699999999994,2.1099075,9.078109000000001,1.5184315000000002,0.704578945878872,10462.0,0.0,2686.71293596103,652.65,2009.22252240036,0.879571,8500.0,13474.5,1.284099,10462.0,0.0,27769.052086499996
recovery,kafka,4096,8,10,rq1-concept5-scenarios-no256k-20260616-synthetic-recovery-summary-aggregated.csv;rq1-extra5-no256k-20260709-synthetic-recovery-summary-aggregated.csv,1416.2821247053198,5.53235204963016,18549.9721005,30568.175315,31509.285035,0.0102685,134.0397825213945,97.5,0.0,2359.285172497695,0.0,1964.819553920345,30840.902136500004,,20000.0,,97.5,0.0,32377.34447
recovery,nats-jetstream,4096,8,10,rq1-extra5-no256k-20260709-synthetic-recovery-summary-aggregated.csv;rq1-nats-fetchwait-20260621-synthetic-recovery-summary-aggregated.csv,395.0856731885895,1.5433034108929249,2.5299199999999997,209.289651,912.355768,1.8063744999999998,436.2533703287971,0.0,8.0,2154.000857859025,1917.85,216.115437061379,186.782712,5000.0,2753.0,701.8122265,0.0,8.0,123704.736296
recovery,rabbitmq-streams,4096,8,10,rq1-concept5-scenarios-no256k-20260616-synthetic-recovery-summary-aggregated.csv;rq1-extra5-no256k-20260709-synthetic-recovery-summary-aggregated.csv,1838.5146160039046,7.181697718765244,3023.734423,5164.698818999999,5517.5182835,1.7668775,4.69730773513648,909.5,0.0,1987.73788182067,1609.5,2057.1928605595103,324.4021265,5500.0,4185.5,2943.1871135,909.5,0.0,24242.6180475
recovery,unary,4096,8,10,rq1-concept5-scenarios-no256k-20260616-synthetic-recovery-summary-aggregated.csv;rq1-extra5-no256k-20260709-synthetic-recovery-summary-aggregated.csv,1819.4696733784851,7.107303411634706,0.4453889999999999,6.262956999999999,40.2250175,0.8405515000000001,12.7225322103466,0.0,0.0,2189.59210513362,1640.95,1900.6426705612998,2013.2403039999997,7000.0,5634.0,4.6916745,0.0,0.0,24558.622382999998
