"run_id","transport_mode","workload_source","workload_descriptor","profile","expected_messages","payload_bytes","concurrency","target_messages_per_second","transformer_work_iterations","sink_process_delay_ms","max_retry_attempts","retry_backoff_ms","failure_action","failure_target","failure_after_seconds","producer_retry_attempts","producer_stream_reconnects","producer_recovery_events","producer_avg_recovery_ms","producer_max_recovery_ms","unary_acknowledged_requests","throughput_messages_per_second","throughput_megabytes_per_second","duration_seconds","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms","mean_inter_arrival_ms","p95_inter_arrival_ms","inter_arrival_jitter_ms","messages_received","bytes_received","duplicates","ordering_violations","completion_ratio","lost_messages","duplicate_ratio","estimated_failure_at_unix_nano","time_to_first_post_failure_message_ms","e2e_recovery_ms","sustained_target_recovered","backlog_drain_ms","recovery_window_p95_latency_ms","throughput_debt_messages","post_failure_duplicates","post_failure_duplicate_ratio","producer_cpu_avg_pct","producer_cpu_peak_pct","producer_memory_avg_mib","producer_memory_peak_mib","producer_samples","transformer_cpu_avg_pct","transformer_cpu_peak_pct","transformer_memory_avg_mib","transformer_memory_peak_mib","transformer_samples","sink_cpu_avg_pct","sink_cpu_peak_pct","sink_memory_avg_mib","sink_memory_peak_mib","sink_samples","rabbitmq_cpu_avg_pct","rabbitmq_cpu_peak_pct","rabbitmq_memory_avg_mib","rabbitmq_memory_peak_mib","rabbitmq_samples","nats_cpu_avg_pct","nats_cpu_peak_pct","nats_memory_avg_mib","nats_memory_peak_mib","nats_samples","kafka_cpu_avg_pct","kafka_cpu_peak_pct","kafka_memory_avg_mib","kafka_memory_peak_mib","kafka_samples"
"csv-replay-check-nats-r100-c1","nats-jetstream","csv-replay","csv-replay[Personen_test.csv+Aanstellingen_test.csv]:rows-per-message=100:repeat=10","bulk","10000","5630","1","0","0","0","0","500","","","0","0","0","0","0","0","0","8488.341217076886","45.57443629673673","1.178086477","365.869654","618.006668","633.695519","635.64252","0.11342110561055743","0.025208","1.5295131361917012","10000","56298703","0","0","1","0","0",,,,,,,,"0",,,,,,"0","1.3","1.3","5","5","3","0","0","2","2","3","0.3","0.3","145","145","3","1.5","1.5","4","4","3","0.9","0.9","550","550","3"
"csv-replay-check-nats-r100-c8","nats-jetstream","csv-replay","csv-replay[Personen_test.csv+Aanstellingen_test.csv]:rows-per-message=100:repeat=10","bulk","10000","5630","8","0","0","0","0","500","","","0","0","0","0","0","0","0","5417.011601651666","29.084274989027165","1.84603629","527.526207","1473.197491","1490.897051","1567.723387","0.17282252445244736","0.019158","7.229674558204339","10000","56298703","0","0","1","0","0",,,,,,,,"0",,,,,,"0","6.1","6.1","13","13","3","0","0","2","2","3","0.3","0.3","145","145","3","6.1","6.1","9","9","3","0.8","0.8","550","550","3"
"csv-replay-check-rmqs-r25-c1","rabbitmq-streams","csv-replay","csv-replay[Personen_test.csv+Aanstellingen_test.csv]:rows-per-message=25:repeat=10","bulk","10000","1427","1","0","0","0","0","500","","","0","0","0","0","0","0","0","463.7636167305637","0.6312354284381462","21.562709189","204.369923","402.225739","2923.608672","21187.890611","1.8793102316231678","2.568775","7.446263911657869","10000","14272321","0","0","1","0","0",,,,,,,,"0",,,,,,"0","5.39090909090909","14.3","3.81818181818182","7","11","3.69090909090909","9.8","3.18181818181818","7","11","18.4","38","1992.90909090909","2005","11",,,,,"0",,,,,"0"
"csv-replay-check-rmqs-r25-c8","rabbitmq-streams","csv-replay","csv-replay[Personen_test.csv+Aanstellingen_test.csv]:rows-per-message=25:repeat=10","bulk","10000","1427","8","0","0","0","0","500","","","0","0","0","0","0","0","0","492.54815828319994","0.6704144881226195","20.302583274","129.786896","408.13338","598.821412","850.713171","2.019796668366837","4.743841","7.411347065944697","10000","14272321","0","0","1","0","0",,,,,,,,"0",,"7.7","7.7","14","14","4","6.76666666666667","16.1","9.25","11","12","4.95833333333333","11.9","3.5","7","12","21.675","44.6","1999.41666666667","2014","12",,,,,"0",,,,,"0"
"csv-replay-check-rmqs-r100-c1","rabbitmq-streams","csv-replay","csv-replay[Personen_test.csv+Aanstellingen_test.csv]:rows-per-message=100:repeat=10","bulk","10000","5630","1","0","0","0","0","500","","","0","0","0","0","0","0","0","384.2208435408753","2.062905803386422","26.026698364","142.24348","275.207726","389.500938","21096.932703","2.3247317722772345","4.7344","7.339689988229692","10000","56298703","0","0","1","0","0",,,,,,,,"0",,,,,,"0","7.13076923076923","15.1","4.30769230769231","7","13","5.09230769230769","10.8","3.76923076923077","7","13","21.8615384615385","38.5","2015.23076923077","2047","13",,,,,"0",,,,,"0"
"csv-replay-check-rmqs-r100-c8","rabbitmq-streams","csv-replay","csv-replay[Personen_test.csv+Aanstellingen_test.csv]:rows-per-message=100:repeat=10","bulk","10000","5630","8","0","0","0","0","500","","","0","0","0","0","0","0","0","464.77232595286216","2.495391763824404","21.515910999","141.98553","297.911819","345.07872","425.197957","2.1307052164216445","4.484976","7.219115181497822","10000","56298703","0","0","1","0","0",,,,,,,,"0",,"8.3","8.3","14","14","5","7.38333333333333","16.6","9.66666666666667","12","12","5.21666666666667","12.1","3.5","7","12","22.525","43","2013.16666666667","2047","12",,,,,"0",,,,,"0"
"csv-replay-check-unary-r25-c1","unary","csv-replay","csv-replay[Personen_test.csv+Aanstellingen_test.csv]:rows-per-message=25:repeat=10","bulk","10000","1427","1","0","0","0","0","500","","","0","0","0","0","0","0","10000","917.1548226955513","1.2483528171738618","10.903284541","0.280041","0.532033","2.519641","53.5722","1.0805833174317478","1.030517","4.512673857254375","10000","14272321","0","0","1","0","0",,,,,,,,"0",,,,,,"0","5.15714285714286","36.1","1.85714285714286","7","7","3.51428571428571","24.6","1.85714285714286","7","7","0.714285714285714","0.8","507.142857142857","508","7",,,,,"0",,,,,"0"
"csv-replay-check-unary-r25-c8","unary","csv-replay","csv-replay[Personen_test.csv+Aanstellingen_test.csv]:rows-per-message=25:repeat=10","bulk","10000","1427","8","0","0","0","0","500","","","0","0","0","0","0","0","10000","3837.326192368089","5.223040695112717","2.605981222","0.41745","1.103116","31.391617","52.316367","0.25176144164416453","0.665591","2.0937853234622987","10000","14272321","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0","0","1","1","3","0","0","1","1","3","0.8","0.8","506","506","3",,,,,"0",,,,,"0"
"csv-replay-check-unary-r100-c1","unary","csv-replay","csv-replay[Personen_test.csv+Aanstellingen_test.csv]:rows-per-message=100:repeat=10","bulk","10000","5630","1","0","0","0","0","500","","","0","0","0","0","0","0","10000","778.0124079156894","4.177197407108331","12.853265447","0.322942","0.736083","6.2992","20796.686215","1.1691119448944882","1.5103","3.2750386601534687","10000","56298703","0","0","1","0","0",,,,,,,,"0",,,,,,"0","9.25","36.4","3.25","7","8","6.275","24.5","2.5","7","8","0.8","0.8","506.5","507","8",,,,,"0",,,,,"0"
"csv-replay-check-unary-r100-c8","unary","csv-replay","csv-replay[Personen_test.csv+Aanstellingen_test.csv]:rows-per-message=100:repeat=10","bulk","10000","5630","8","0","0","0","0","500","","","0","0","0","0","0","0","10000","3743.841822910608","20.10092152281026","2.671053018","0.432666","1.046558","53.357241","66.703723","0.25750303650365053","0.681083","2.9267586646518966","10000","56298703","0","0","1","0","0",,,,,,,,"0",,,,,,"0","0","0","1","1","4","0","0","2","2","4","0.8","0.8","506","506","4",,,,,"0",,,,,"0"
